n_atr_1d_6,cl_9_1.0,cl_12_1.0,cl_18_2.0,cl_9_3.0,ind_vjrc_36_1,ind_per_x9_1.0,prc_u_tc_cns,tas_u_tc,c_tc_mn_24,c_tc_mn_24_sld,c_pcns,vr_s_t_36,mx_ltc_36,ipc_t6
1,0,0,0,0,0,1,0.0992,-1.0,0,0,5,0.0,4047.51,0.022947805
0,0,0,0,0,0,0,0.0,0.0,0,0,2,-0.007454113,227.4,0.033416187
0,0,0,0,0,0,1,0.179452049,0.179452049,0,0,1,-0.003515307,32100.0,0.021925232
0,0,0,0,0,0,0,0.0,0.0,0,0,2,-0.137085658,3500.0,0.019732322
0,0,0,0,0,0,1,0.526600667,0.526600667,1,1,3,-0.955222189,79611.09,0.01429334
0,0,0,0,0,1,0,0.0992,-1.0,0,0,1,-0.987715898,0.0,0.015987324
0,0,0,0,0,1,1,0.462758621,0.462758621,1,2,2,0.0,2001.0,0.019732322
0,0,0,0,0,0,0,0.058915385,0.058915385,0,0,1,-0.274793745,3900.0,0.022947805
0,0,0,0,0,0,0,0.284027205,0.284027205,1,1,0,-0.064205812,8700.01,0.027324439
0,0,0,0,0,0,0,0.0,0.0,1,0,0,-0.058328056,2500.0,0.022947805
0,0,0,0,0,0,0,0.007111111,0.007111111,1,1,0,0.0,900.0,0.039748545
0,0,0,0,0,0,1,0.13646747,0.13646747,2,1,0,-0.495336222,18196.0,0.015987324
0,0,0,0,0,0,0,0.002577813,0.002577813,3,0,0,-0.996990505,37886.0,0.015987324
0,0,0,0,0,0,0,0.0,0.0,0,0,0,-0.311104905,4386.24,0.03234882
1,0,0,1,0,1,1,0.335810328,0.335810328,2,2,0,-0.007073536,8756.58,0.035449103
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,-0.63808837,15100.0,0.027324439
0,0,0,0,0,0,1,4.35e-05,4.35e-05,0,0,1,-0.752955539,2300.0,0.03234882
0,0,0,0,0,1,1,0.990989542,0.990989542,0,2,2,-0.559985276,1855.56,0.019732322
0,0,0,0,0,0,1,0.085230968,0.085230968,4,2,0,-0.627085986,83178.57,0.033416187
1,1,1,0,0,0,0,0.0992,-1.0,0,0,1,0.0,0.0,0.043979285
0,0,0,0,0,0,1,0.023523762,0.023523762,1,1,0,-0.876568288,11685.52,0.039748545
0,0,0,0,0,0,1,0.107424943,0.107424943,1,0,1,0.0,28155.1,0.018195539
0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1941.94,0.043979285
0,0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,3653.26,0.015987324
0,0,0,0,0,1,0,0.123143147,0.123143147,1,0,1,-0.036585562,9850.0,0.021925232
0,0,0,0,0,0,1,0.25415496,0.25415496,4,2,1,-0.528360579,50400.0,0.033416187
0,0,0,0,0,0,0,0.0992,-1.0,0,0,1,-0.758990404,0.0,0.033416187
1,1,1,0,0,0,0,0.0992,-1.0,0,0,2,0.0,3200.0,0.013648559
2,1,1,0,0,1,1,0.0992,-1.0,0,0,2,-0.275450782,130.97,0.035449103
1,0,0,0,0,0,1,0.289857143,0.289857143,3,0,0,-0.550674721,3469.5,0.03234882
0,0,0,0,0,0,1,0.0,0.0,1,0,1,0.0,20600.0,0.039748545
0,0,1,0,0,0,0,0.263156102,0.263156102,2,0,1,-0.595368996,5393.58,0.027324439
0,0,0,0,0,1,1,0.912617589,0.912617589,0,2,1,0.0,1818.0,0.033416187
0,0,0,0,0,0,0,0.0,0.0,0,0,0,-0.6947125,2728.8,0.035449103
2,0,0,0,0,1,1,0.617004437,0.617004437,0,1,1,-0.212455036,5066.56,0.043979285
1,1,1,0,0,0,0,0.814635889,0.814635889,0,0,0,0.0,1175.74,0.035449103
0,0,0,0,0,0,0,0.0,0.0,0,0,0,-1.0,21900.0,0.021925232
0,0,0,0,0,0,1,0.21845,0.21845,0,0,2,-0.646870063,73882.76,0.015987324
0,0,0,0,0,0,0,0.0992,-1.0,0,0,0,0.0,0.0,0.018195539
0,0,0,0,0,1,1,0.0992,-1.0,0,0,2,-0.166382498,0.0,0.015987324
